optimizer,size,chinchilla,loss_min,loss_baseline,n_ablations,loss_ablation_median,loss_ablation_worst
muon,1.2b,4,2.7799859046936035,2.7799859046936035,0,,
muon,1.2b,8,2.7483625411987305,2.7483625411987305,0,,
muon,130m,1,3.4626309871673584,3.463632106781006,32,3.4718902111053467,3.811218738555908
muon,130m,2,3.369025468826294,3.369025468826294,32,3.3746718168258667,5.932426452636719
muon,130m,4,3.2946722507476807,3.29641056060791,32,3.3029814958572388,4.806643486022949
muon,130m,8,3.2373132705688477,3.2398157119750977,32,3.244835138320923,5.568262577056885
muon,130m,16,3.1924784183502197,3.2022271156311035,0,,
muon,300m,1,3.221550941467285,3.2237305641174316,32,3.2298247814178467,5.975874423980713
muon,300m,2,3.1433465480804443,3.1433465480804443,2,3.144392967224121,3.1447649002075195
muon,300m,4,3.079275369644165,3.079275369644165,2,3.0857138633728027,3.0879828929901123
muon,300m,8,3.029240131378174,3.0318071842193604,2,3.039031505584717,3.04882287979126
muon,300m,16,2.9908766746520996,,0,,
muon,520m,1,3.070978879928589,3.073499917984009,32,3.078208088874817,7.899570941925049
muon,520m,2,3.001875162124634,3.001875162124634,2,3.0084749460220337,3.0091676712036133
muon,520m,4,2.9442315101623535,2.945103168487549,2,2.953737735748291,2.9632439613342285
muon,520m,8,2.900200366973877,2.905993938446045,2,2.9150686264038086,2.92993688583374
nadamw,1.2b,1,2.902158498764038,2.902158498764038,0,,
nadamw,1.2b,2,2.8329575061798096,2.8329575061798096,0,,
nadamw,1.2b,4,2.784677267074585,2.784677267074585,0,,
nadamw,1.2b,8,2.7485225200653076,2.7485225200653076,0,,
nadamw,130m,1,3.5311388969421387,3.5312271118164062,18,3.5460284948349,34467.60546875
nadamw,130m,2,3.393378496170044,3.393587350845337,19,3.4027507305145264,7.67470121383667
nadamw,130m,4,3.317051887512207,3.319291353225708,20,3.3311139345169067,7.732810020446777
nadamw,130m,8,3.2486026287078857,3.2508537769317627,20,3.256121873855591,7.669895648956299
nadamw,130m,16,3.200423002243042,3.200423002243042,0,,
nadamw,300m,1,3.247661828994751,3.247661828994751,19,3.262681245803833,7.744184970855713
nadamw,300m,2,3.1595587730407715,3.1595587730407715,2,3.162663221359253,3.1648709774017334
nadamw,300m,4,3.08992862701416,3.08992862701416,2,3.0977370738983154,3.098461151123047
nadamw,300m,8,3.039086103439331,3.039180040359497,2,3.047212839126587,3.0553395748138428
nadamw,300m,16,2.998051166534424,2.998051166534424,0,,
nadamw,520m,1,3.09255051612854,3.099550485610962,19,3.1100969314575195,7.845871925354004
nadamw,520m,2,3.0127241611480713,3.0127241611480713,2,3.021705389022827,3.023186445236206
nadamw,520m,4,2.954136371612549,2.9545633792877197,2,2.962599754333496,2.9710631370544434
nadamw,520m,8,2.9072420597076416,2.9072420597076416,2,2.911454439163208,2.9129629135131836
